homa@homa1:~/platformlab/RAMCloud/logs/20180608125510$ cat coordinator.homa4.log 
1528480511.027278629 CoordinatorMain.cc:96 in main NOTICE[1]: Command line: /home/homa/platformlab/RAMCloud/obj.05302018_dpdk/coordinator -C basic+udp:host=10.10.10.14,port=12246 -l NOTICE --logFile logs/20180608125510/coordinator.homa4.log --dpdkPort 0 --configDir config
1528480511.027309848 CoordinatorMain.cc:97 in main NOTICE[1]: Coordinator process id: 19405
1528480546.777456418 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_37 is on socket 0
1528480546.777457805 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_38 is on socket 0
1528480546.777471839 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_39 is on socket 0
1528480546.777476569 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_40 is on socket 0
1528480546.777478042 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_41 is on socket 0
1528480546.777479412 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_42 is on socket 0
1528480546.777480896 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_43 is on socket 0
1528480546.777482383 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_44 is on socket 0
1528480546.777483975 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_45 is on socket 0
1528480546.777486314 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_46 is on socket 0
1528480546.777487802 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_47 is on socket 0
1528480546.777490182 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_48 is on socket 0
1528480546.777492192 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_49 is on socket 0
1528480546.777506221 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_50 is on socket 0
1528480546.777510767 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_51 is on socket 1
1528480546.777512235 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_52 is on socket 1
1528480546.777513681 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_53 is on socket 1
1528480546.777515043 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_54 is on socket 1
1528480546.777516496 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_55 is on socket 1
1528480546.777520349 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_56 is on socket 1
1528480546.777522218 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_57 is on socket 1
1528480546.777523716 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_58 is on socket 1
1528480546.777525037 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_59 is on socket 1
1528480546.777526499 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_60 is on socket 1
1528480546.777540994 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_61 is on socket 1
1528480546.777545374 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_62 is on socket 1
1528480546.777546824 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_63 is on socket 1
1528480546.777548333 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_64 is on socket 1
1528480546.777549832 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_65 is on socket 1
1528480546.777551261 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_66 is on socket 1
1528480546.777553888 FileLogger.cc:100 in write NOTICE[1]: DPDK: EAL: Hugepage /mnt/huge_1GB/homa4map_67 is on socket 1
